build_y,offi_nm,size,year,month,day,dong,bo_price,mo_price,ji_code,floor
2017,대농지구 롯데캐슬시티,28.47,2019,5,19, 복대동,"10,000",0,43113,11
2017,대농지구 롯데캐슬시티,48.35,2019,5,25, 복대동,"15,000",0,43113,9
2017,대농지구 롯데캐슬시티,48.35,2019,5,28, 복대동,"18,000",0,43113,13
2017,대농지구 롯데캐슬시티,48.35,2019,5,28, 복대동,"7,000",40,43113,3
2016,지웰에스테이트 오피스텔,27.61,2019,5,30, 복대동,500,44,43113,8
2016,지웰에스테이트 오피스텔,29.24,2019,5,31, 복대동,"11,500",0,43113,13
2016,지웰에스테이트 오피스텔,32.91,2019,6,5, 복대동,500,40,43113,12
2017,대농지구 롯데캐슬시티,28.47,2019,6,12, 복대동,"11,000",0,43113,7
2016,지웰에스테이트 오피스텔,32.91,2019,6,12, 복대동,"12,000",0,43113,5
2017,대농지구 롯데캐슬시티,48.35,2019,6,13, 복대동,"18,000",0,43113,4
2017,대농지구 롯데캐슬시티,50.53,2019,6,13, 복대동,"18,000",0,43113,13
2015,(3337),50.89,2019,6,15, 복대동,"2,000",0,43113,6
2017,대농지구 롯데캐슬시티,48.35,2019,6,16, 복대동,"18,000",0,43113,9
2016,지웰에스테이트 오피스텔,29.24,2019,6,17, 복대동,"9,150",0,43113,13
2016,지웰에스테이트 오피스텔,30.33,2019,6,17, 복대동,"9,800",0,43113,7
2016,지웰에스테이트 오피스텔,28.52,2019,6,17, 복대동,500,40,43113,5
2016,지웰에스테이트 오피스텔,45.28,2019,6,20, 복대동,"15,000",0,43113,13
2015,(3337),31.65,2019,6,26, 복대동,"5,000",0,43113,4
2017,대농지구 롯데캐슬시티,48.35,2019,6,27, 복대동,"18,000",0,43113,13
2016,지웰에스테이트 오피스텔,27.61,2019,6,28, 복대동,300,42,43113,4
2014,주건축물제1동(288-119),27.59,2019,6,28, 복대동,500,40,43113,5
2017,대농지구 롯데캐슬시티,28.47,2019,7,1, 복대동,500,47,43113,4
2016,지웰에스테이트 오피스텔,27.61,2019,7,2, 복대동,"9,500",0,43113,9
2017,대농지구 롯데캐슬시티,33.45,2019,7,6, 복대동,"12,000",0,43113,11
2017,대농지구 롯데캐슬시티,33.45,2019,7,10, 복대동,"12,000",0,43113,3
2016,지웰에스테이트 오피스텔,28.8,2019,7,13, 복대동,"10,000",0,43113,4
2017,대농지구 롯데캐슬시티,48.35,2019,7,16, 복대동,"17,000",0,43113,13
2017,대농지구 롯데캐슬시티,48.35,2019,7,17, 복대동,"3,000",55,43113,14
2017,대농지구 롯데캐슬시티,48.35,2019,7,18, 복대동,"17,000",0,43113,3
2017,대농지구 롯데캐슬시티,48.35,2019,7,19, 복대동,500,70,43113,5
2016,지웰에스테이트 오피스텔,32.91,2019,7,22, 복대동,500,48,43113,3
2016,지웰에스테이트 오피스텔,29.24,2019,8,1, 복대동,"7,500",0,43113,15
2016,지웰에스테이트 오피스텔,25.23,2019,8,1, 복대동,"9,000",0,43113,2
2017,대농지구 롯데캐슬시티,50.53,2019,8,6, 복대동,"5,000",45,43113,5
2016,지웰에스테이트 오피스텔,55,2019,8,7, 복대동,"4,000",40,43113,3
2016,지웰에스테이트 오피스텔,55,2019,8,7, 복대동,"4,000",40,43113,3
